variable,label_fr,type,unit,role,source_table,source_field,transformation,allowed_values,missing_semantics,quality_rule,notes
species,Cible de la petite version,character,,derived_label,species_fr/species_code,,species_fr si disponible sinon code,,Jamais manquant dans small,,Seulement dans arbres_quebec_small.csv
species_code,Code d'essence MRNF,character,,observed,DENDRO_ARBRES,ESSENCE,Majuscules et espaces retirés,dictionnaire ESSENCES,NA signalé,Code inconnu signalé,Ne pas confondre avec un nom scientifique
species_fr,Nom français source,character,,decoded,DICTIONNAIRE_PLACETTE.xlsx,ESSENCES,Jointure exacte sur species_code,dictionnaire MRNF,NA si code absent/inconnu,,
species_latin,Nom scientifique accepté,character,,decoded_external,species_taxonomy_crosswalk.csv,scientific_name_accepted,Appariement taxonomique revu,,NA tant que non apparié,taxonomy_not_reviewed,VASCAN recommandé
genus,Genre taxonomique,character,,decoded_external,species_taxonomy_crosswalk.csv,genus,Appariement revu,,NA tant que non apparié,taxonomy_not_reviewed,
family,Famille taxonomique,character,,decoded_external,species_taxonomy_crosswalk.csv,family,Appariement revu,,NA tant que non apparié,taxonomy_not_reviewed,
diameter_cm,DHP harmonisé,double,cm,derived_unit_conversion,DENDRO_ARBRES,DHP,diameter_mm / 10,,NA si DHP manquant,<=0 signalé; >300 cm suspect,Aucune imputation
height_m,Hauteur analytique avec provenance,double,m,derived,DENDRO_ARBRES_ETUDES;DENDRO_ARBRES,HAUT_ARBRE,HAUT_ARBRE / 10; hauteur observée uniquement,,NA si aucune hauteur,Toujours interpréter avec height_source,Aucune hauteur estimée dans la version pédagogique
age_years,Âge mesuré,double,années,observed,DENDRO_ARBRES_ETUDES/DENDRO_ARBRES,AGE,Priorité à la table des arbres d'étude,,NA fréquent,<0 invalide; >500 suspect,Âge publié par le MRNF au niveau de lecture de la carotte; pas nécessairement âge total. Voir SOURCE_AGE et NIVLECTAGE dans la provenance. Aucune imputation par le pipeline.
basal_area_m2,Surface terrière de la tige,double,m²,derived,diameter_cm,DHP,pi * (diameter_cm / 200)^2,,NA si diamètre manquant/non positif,Comparer au champ source si disponible,Déterministe à partir du DHP
canopy_stratum,Étage relatif de l'arbre,character,,decoded,DICTIONNAIRE_PLACETTE.xlsx,ETAGE,Jointure exacte,Dominant;Codominant;Intermédiaire;Opprimé;etc.,NA si code absent/inconnu,,
ecological_region,Nom de région écologique,character,,decoded,DICTIONNAIRE_PLACETTE.xlsx,REG_ECO,Jointure exacte,,NA si code absent/inconnu,,
survey_year,Année de mesure,integer,année,derived,PLACETTE/PLACETTE_MES,DATE_SOND,Année extraite de measurement_date,,NA si date absente ou illisible,,Ne pas inférer d'une autre date
plot_id,Identifiant de placette,character,,observed_key,PLACETTE,ID_PE,Conversion en texte,,Manquant interdit,,Utiliser comme groupe de validation
tree_id,Identifiant stable de l'arbre,character,,observed_key,DENDRO_ARBRES,ID_ARBRE,Conversion en texte,,Peut être manquant seulement si source invalide,,Permet le suivi longitudinal PEP
record_id,Identifiant unique de la ligne arbre-campagne,character,,observed_key,DENDRO_ARBRES,ID_ARBRE ou ID_ARB_MES,PET/PET5: ID_ARBRE; PEP: ID_ARB_MES,unique,Manquant interdit,Dupliqués signalés,Clé primaire analytique
data_quality_flag,Indicateurs de qualité,character,,derived_quality,multiple,multiple,Concaténation de drapeaux séparés par ;,liste documentée,NA signifie aucun drapeau selon les règles actuelles,,Un drapeau n'entraîne pas suppression automatique
observation_quality,Classe synthétique d'observation,character,,derived_quality,multiple,multiple,A: hauteur observée+taxonomie revue; B: hauteur observée; C: hauteur estimée; D: diamètre seul; review/insufficient,A_observed_taxonomy_reviewed;B_observed_height;C_estimated_height;D_diameter_only;review_required;insufficient,Jamais manquant,,"Classe documentaire, pas score scientifique validé"
small_sampling_seed,Graine de l'échantillonnage,integer,,provenance,script,SMALL_SEED,Constante d'exécution,,Jamais manquant dans small,,
small_n_per_species,Effectif visé et obtenu par espèce,integer,observations,provenance,script,SMALL_N_PER_SPECIES,Minimum entre cible et plus petit effectif admissible,,Jamais manquant dans small,,
small_sampling_rule,Règle d'échantillonnage,character,,provenance,script,,Description textuelle générée,,Jamais manquant dans small,,
