record_id,plot_id,species_code,diameter_mm_raw,tree_height_dm_raw,study_height_dm_raw,tree_age_raw,study_age_raw,age_source_code,age_reading_height_cm,survey_date_raw,study_selection_method,canopy_code_raw,ecological_region_code_raw,source_file_sha256
1700602203031,1700602203,BOP,188,153,153,54,54,6,100,2017-08-26T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700610002010,1700610002,BOP,277,159,159,,,9,100,2017-07-18T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700911301013,1700911301,BOP,178,175,175,88,88,4,100,2017-09-12T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700914204007,1700914204,BOP,309,220,220,83,83,6,100,2017-08-25T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701008504007,1701008504,BOP,198,135,135,67,67,4,100,2017-07-26T00:00:00.000Z,L,I,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701114302023,1701114302,BOP,150,132,132,58,58,4,100,2017-08-01T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701207103047,1701207103,BOP,102,102,102,32,32,4,100,2017-07-02T00:00:00.000Z,L,I,4d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701208702029,1701208702,BOP,178,122,122,58,58,6,100,2017-10-05T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1706604704058,1706604704,BOP,139,144,144,39,39,4,100,2017-09-16T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900100804019,1900100804,BOP,168,151,151,32,32,4,100,2019-06-30T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900500404017,1900500404,BOP,94,116,116,53,53,4,100,2019-10-05T00:00:00.000Z,L,I,4h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900511504030,1900511504,BOP,115,100,100,49,49,4,100,2019-08-21T00:00:00.000Z,L,C,4g,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900708102034,1900708102,BOP,91,95,95,25,25,4,100,2019-06-28T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900709502004,1900709502,BOP,217,167,167,67,67,4,100,2019-11-30T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900715304008,1900715304,BOP,193,169,169,52,52,4,100,2019-06-26T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900721101008,1900721101,BOP,253,204,204,65,65,4,100,2019-08-05T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1902000604040,1902000604,BOP,115,89,89,62,62,6,100,2019-08-23T00:00:00.000Z,L,C,5i,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000501602024,2000501602,BOP,307,210,210,71,71,6,100,2020-07-12T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000505503027,2000505503,BOP,94,142,142,34,34,4,100,2020-07-03T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000604301048,2000604301,BOP,112,171,171,34,34,4,100,2020-06-18T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001009702026,2001009702,BOP,225,209,209,79,79,4,100,2020-08-04T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001401403018,2001401403,BOP,150,173,173,61,61,6,100,2020-09-17T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001500704010,2001500704,BOP,136,101,101,63,63,4,100,2020-08-29T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001601101024,2001601101,BOP,97,108,108,28,28,4,100,2020-10-18T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001704603050,2001704603,BOP,111,114,114,103,103,4,100,2020-09-19T00:00:00.000Z,L,I,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2007602702024,2007602702,BOP,101,109,109,33,33,4,100,2021-06-09T00:00:00.000Z,L,C,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2007603601015,2007603601,BOP,259,209,209,100,100,4,100,2021-06-02T00:00:00.000Z,L,C,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100604401007,2100604401,BOP,132,119,119,28,28,4,100,2021-08-03T00:00:00.000Z,L,C,5c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100605003037,2100605003,BOP,145,120,120,54,54,4,100,2021-08-04T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100606604010,2100606604,BOP,113,145,145,61,61,4,100,2021-07-17T00:00:00.000Z,L,C,5c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100612502030,2100612502,BOP,118,132,132,20,20,4,100,2021-08-16T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100808502015,2100808502,BOP,93,128,128,35,35,4,100,2021-07-27T00:00:00.000Z,L,I,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100900403034,2100900403,BOP,112,118,118,66,66,4,100,2021-07-30T00:00:00.000Z,L,I,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101303704043,2101303704,BOP,142,154,154,44,44,4,100,2021-09-11T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101602602027,2101602602,BOP,166,181,181,51,51,4,100,2021-09-03T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2200207501010,2200207501,BOP,151,153,153,65,65,4,100,2022-10-04T00:00:00.000Z,L,C,5c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300124902032,2300124902,BOP,243,194,194,101,101,6,100,2023-09-12T00:00:00.000Z,L,C,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300246801014,2300246801,BOP,268,159,159,100,100,4,100,2023-07-19T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300905402002,2300905402,BOP,120,130,130,38,38,4,100,2023-07-04T00:00:00.000Z,L,I,5f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300929303026,2300929303,BOP,127,109,109,38,38,4,100,2023-10-26T00:00:00.000Z,L,I,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2301021402004,2301021402,BOP,136,86,86,64,64,6,100,2023-07-15T00:00:00.000Z,L,I,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400419501005,2400419501,BOP,158,144,144,95,95,4,100,2024-08-21T00:00:00.000Z,L,I,6e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400664904046,2400664904,BOP,116,109,109,34,34,4,100,2024-08-17T00:00:00.000Z,L,C,6h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2401227604020,2401227604,BOP,187,161,161,105,105,4,100,2024-05-23T00:00:00.000Z,L,C,5d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2500720504051,2500720504,BOP,114,166,166,41,41,4,100,2025-08-08T00:00:00.000Z,L,C,5a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2500722402057,2500722402,BOP,98,124,124,39,39,4,100,2025-08-07T00:00:00.000Z,L,I,6a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7209301601043,7209301601,BOP,109,133,133,26,26,4,100,2018-09-12T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7601203002088,7601203002,BOP,234,141,141,35,35,3,100,2017-08-05T00:00:00.000Z,R,C,5i,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
9204302201029,9204302201,BOP,115,128,128,34,34,4,100,2023-07-07T00:00:00.000Z,S,C,5d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
9500700502004,9500700502,BOP,141,121,121,69,69,3,100,2017-07-16T00:00:00.000Z,S,D,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700511801038,1700511801,EPN,185,201,201,112,112,4,100,2017-07-28T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700904203012,1700904203,EPN,181,161,161,54,54,4,100,2017-09-13T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701000801037,1701000801,EPN,142,112,112,35,35,4,100,2017-10-04T00:00:00.000Z,L,C,4d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701009703015,1701009703,EPN,192,147,147,36,36,4,100,2017-06-20T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701015002034,1701015002,EPN,165,121,121,48,48,4,100,2017-08-16T00:00:00.000Z,L,C,4d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701402604048,1701402604,EPN,100,39,39,25,25,4,100,2017-08-10T00:00:00.000Z,L,O,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900203603010,1900203603,EPN,139,118,118,29,29,4,100,2019-09-28T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900609101023,1900609101,EPN,185,121,121,94,94,4,100,2019-08-10T00:00:00.000Z,L,D,4h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900807303009,1900807303,EPN,104,90,90,22,22,4,100,2019-08-22T00:00:00.000Z,L,I,3d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900808004014,1900808004,EPN,251,160,160,68,68,6,100,2019-08-14T00:00:00.000Z,L,C,3d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1901904104068,1901904104,EPN,118,76,76,68,68,4,100,2019-07-19T00:00:00.000Z,L,O,5i,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000301503036,2000301503,EPN,189,160,160,36,36,4,100,2020-06-28T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000313103017,2000313103,EPN,120,104,104,40,40,4,100,2020-09-03T00:00:00.000Z,L,I,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000406202038,2000406202,EPN,165,150,150,31,31,4,100,2020-09-07T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001005203009,2001005203,EPN,96,114,114,35,35,4,100,2020-07-25T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001106502039,2001106502,EPN,114,102,102,25,25,4,100,2020-08-25T00:00:00.000Z,L,I,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001305104010,2001305104,EPN,135,131,131,56,56,4,100,2020-08-01T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001400402045,2001400402,EPN,165,129,129,46,46,4,100,2020-09-10T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001408103004,2001408103,EPN,92,78,78,17,17,4,100,2020-09-19T00:00:00.000Z,L,I,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001600601017,2001600601,EPN,149,169,169,85,85,4,100,2020-09-07T00:00:00.000Z,L,C,6c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001604102005,2001604102,EPN,96,97,97,25,25,4,100,2020-09-19T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001700404009,2001700404,EPN,132,123,123,38,38,4,100,2020-09-08T00:00:00.000Z,L,C,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100500404005,2100500404,EPN,194,185,185,138,138,6,100,2021-07-18T00:00:00.000Z,L,C,5a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100509103007,2100509103,EPN,99,79,79,71,71,4,100,2021-09-03T00:00:00.000Z,L,I,5a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100611903016,2100611903,EPN,136,118,118,45,45,4,100,2021-06-19T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
