variable,label_fr,type,unit,role,source_table,source_field,transformation,allowed_values,missing_semantics,quality_rule,notes
record_id,Identifiant unique de la ligne arbre-campagne,character,,observed_key,DENDRO_ARBRES,ID_ARBRE ou ID_ARB_MES,PET/PET5: ID_ARBRE; PEP: ID_ARB_MES,unique,Manquant interdit,Dupliqués signalés,Clé primaire analytique
tree_id,Identifiant stable de l'arbre,character,,observed_key,DENDRO_ARBRES,ID_ARBRE,Conversion en texte,,Peut être manquant seulement si source invalide,,Permet le suivi longitudinal PEP
plot_measurement_id,Identifiant placette-campagne,character,,observed_key,PLACETTE_MES ou PLACETTE,ID_PE_MES ou ID_PE,PEP: ID_PE_MES; PET: ID_PE,,Manquant interdit pour PEP,,Clé de campagne
plot_id,Identifiant de placette,character,,observed_key,PLACETTE,ID_PE,Conversion en texte,,Manquant interdit,,Utiliser comme groupe de validation
survey_year,Année de mesure,integer,année,derived,PLACETTE/PLACETTE_MES,DATE_SOND,Année extraite de measurement_date,,NA si date absente ou illisible,,Ne pas inférer d'une autre date
measurement_date,Date de mesure,date,YYYY-MM-DD,observed,PLACETTE/PLACETTE_MES,DATE_SOND,Parsing déclaré sans imputation,,NA si source absente ou illisible,,Date de la campagne
source_inventory,Inventaire source,character,,provenance,manifest,source_id,Constante d'exécution,PET5;PET4;PEP,Jamais manquant,,
source_network,Réseau de placettes permanentes,character,,observed,PLACETTE,RESEAU,Aucune,codes MRNF,NA pour PET,,
project_id,Numéro de projet,character,,observed,PLACETTE/PLACETTE_MES,NO_PRJ ou NO_PRJ_MES,Conversion en texte,,NA permis,,
transect_id,Numéro de virée,character,,observed,PLACETTE,NO_VIREE,Conversion en texte,,NA permis,,
plot_number,Numéro de placette,character,,observed,PLACETTE,NO_PE,Conversion en texte,,NA permis,,
plot_type,Type de placette,character,,decoded_or_observed,PLACETTE,TYPE_PE,Code conservé,codes MRNF,NA permis,,
species_code,Code d'essence MRNF,character,,observed,DENDRO_ARBRES,ESSENCE,Majuscules et espaces retirés,dictionnaire ESSENCES,NA signalé,Code inconnu signalé,Ne pas confondre avec un nom scientifique
species_fr,Nom français source,character,,decoded,DICTIONNAIRE_PLACETTE.xlsx,ESSENCES,Jointure exacte sur species_code,dictionnaire MRNF,NA si code absent/inconnu,,
species_latin,Nom scientifique accepté,character,,decoded_external,species_taxonomy_crosswalk.csv,scientific_name_accepted,Appariement taxonomique revu,,NA tant que non apparié,taxonomy_not_reviewed,VASCAN recommandé
genus,Genre taxonomique,character,,decoded_external,species_taxonomy_crosswalk.csv,genus,Appariement revu,,NA tant que non apparié,taxonomy_not_reviewed,
family,Famille taxonomique,character,,decoded_external,species_taxonomy_crosswalk.csv,family,Appariement revu,,NA tant que non apparié,taxonomy_not_reviewed,
vascan_taxon_id,Identifiant taxonomique VASCAN,character,,decoded_external,species_taxonomy_crosswalk.csv,vascan_taxon_id,Aucune après revue,,NA si non apparié,,Version de VASCAN requise
quebec_status,Statut de répartition au Québec,character,,decoded_external,VASCAN crosswalk,quebec_status,Aucune après revue,native;introduced;etc.,NA si non apparié,,
taxonomy_match_method,Méthode d'appariement taxonomique,character,,provenance,species_taxonomy_crosswalk.csv,taxonomy_match_method,Renseignée manuellement,exact_code;reviewed;manual,NA si non apparié,,Aucun fuzzy match silencieux
taxonomy_match_status,Statut de revue taxonomique,character,,quality_metadata,species_taxonomy_crosswalk.csv,taxonomy_match_status,Aucune,reviewed;exact_code;needs_review,NA si non apparié,taxonomy_not_reviewed,
diameter_mm,DHP brut,double,mm,observed,DENDRO_ARBRES,DHP,Conversion numérique seulement,,NA conservé,<=0 invalide; >300 cm suspect après conversion,Diamètre à hauteur de poitrine
diameter_cm,DHP harmonisé,double,cm,derived_unit_conversion,DENDRO_ARBRES,DHP,diameter_mm / 10,,NA si DHP manquant,<=0 signalé; >300 cm suspect,Aucune imputation
height_observed_dm,Hauteur observée brute,double,dm,observed,DENDRO_ARBRES_ETUDES/DENDRO_ARBRES,HAUT_ARBRE,Priorité à la table des arbres d'étude,,NA fréquent et protocolaire,<=0 invalide; >70 m suspect après conversion,
height_observed_m,Hauteur observée harmonisée,double,m,derived_unit_conversion,DENDRO_ARBRES_ETUDES/DENDRO_ARBRES,HAUT_ARBRE,height_observed_dm / 10,,NA si arbre non mesuré,<=0 signalé; >70 m suspect,
height_estimated_dm,Hauteur estimée brute,double,dm,observed_estimate,DENDRO_ARBRES,HAUT_ESTI,Conversion numérique seulement,,NA permis,<=0 signalé,"Estimation source, pas observation"
height_estimated_m,Hauteur estimée harmonisée,double,m,derived_unit_conversion,DENDRO_ARBRES,HAUT_ESTI,height_estimated_dm / 10,,NA permis,<=0 signalé,
