inventory,source_table,source_field,description_fr,has_value_domain,source_dictionary_sha256
PEP,PLACETTE,NO_PRJ,Numéro du projet à l'implantation de la placette,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,NO_VIREE,Numéro de la virée,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,NO_PE,Numéro de la placette-échantillon,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,ID_PE,Identifiant unique de placette-échantillon,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,TYPE_PE,Type de placette-échantillon,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,RESEAU,Identification du réseau d’implantation auquel appartient la placette,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,FEUILLET,Numéro du feuillet cartographique,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,LATITUDE,Latitude,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,LONGITUDE,Longitude,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,IN_GPS,Indicateur de positionnement GPS de la placette,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,STATUT_FIN,Statut indiquant la fin du remesurage,Oui,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,DERN_SOND,Date du dernier sondage,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE,DERN_TRSP,Transport utilisé lors de la dernière mesure,Oui,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,ID_PE,Identifiant unique de placette-échantillon,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,NO_MES,Numéro de mesure,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,ID_PE_MES,Identifiant unique de placette-échantillon suivi du numéro de mesure,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,VERSION,Version de type de placette-échantillon,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,DIMENSION,Dimension de la placette-échantillon,Oui,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEP,PLACETTE_MES,NO_PRJ_MES,Numéro du projet de la mesure,,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
