species_code,species_fr_source,source_dictionary_sha256
ABS,Absence d'espèce,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AEH,Marronnier d'inde,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AMC,Amélanchier arborescent,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AME,Amélanchier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AMF,Faux-indigo commun,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AMG,Amélanchier de Gaspésie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AML,Amélanchier glabre,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AMP,Amélanchier en épis,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AMR,Amélanchier de Bartram,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ARM,Aronia noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ARO,Aronie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ATA,Clématite verticillée,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AUC,Aulne crispé,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AUR,Aulne rugueux,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
AUT,Aulne tendre,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BEG,Bouleau glanduleux,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BEM,Bouleau mineur,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BEP,Bouleau nain,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BET,Épine-vinette du Japon,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BOG,Bouleau gris (à feuilles de peuplier),80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BOJ,Bouleau jaune,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
BOP,Bouleau à papier (blanc),80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CAC,Caryer cordiforme,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CAF,Caryer à fruits doux,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CAR,Charme de Caroline,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CEO,Micocoulier occidental,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CEP,Céphalanthe occidental,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CES,Bourreau-des-arbres,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CET,Cerisier tardif,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CHB,Chêne blanc,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CHD,Chêne pédonculé,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CHE,Chêne bicolore,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CHG,Chêne à gros fruits,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CHR,Chêne rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CLV,Clématite de Virginie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
COA,Cornouiller à feuilles alternes,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
COC,Noisetier à long bec,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
COP,Comptonie voyageuse,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
COR,Cornouiller stolonifère,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
COU,Cornus rugosa,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
CRA,Aubépine,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
DIE,Dièreville chèvrefeuille,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
DIR,Dirca des marais,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ELA,Olivier de Bohême,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ELC,Chalef argenté,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
EPB,Épinette blanche,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
EPN,Épinette noire,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
EPO,Épinette de Norvège,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
EPR,Épinette rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERA,Érable argenté,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERB,Érable de Norvège,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERE,Érable à épis,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERG,Érable à Giguère,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERN,Érable noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERP,Érable de Pennsylvanie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERR,Érable rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ERS,Érable à sucre,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
FEU,Feuillu inconnu,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
FRA,Frêne d'Amérique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
FRN,Frêne noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
FRP,Frêne de Pennsylvanie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
HAV,Hamamélis de Virginie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
HEG,Hêtre à grandes feuilles,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ILV,Houx verticillé,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
INC,Genre inconnu,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
JUC,Genévrier commun,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
JUH,Genévrier horizontal,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
JUN,Genévriers,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
JUV,Genévrier de Virginie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
KAA,Kalmia à feuilles étroites,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LEG,Thé du Labrador,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOD,Chèvrefeuille dioïque,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOH,Chèvrefeuille hirsute,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LON,Chèvrefeuille du Canada,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOO,Chèvrefeuille feuil. oblongues,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOS,Chèvrefeuille,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOT,Chèvrefeuille de Tartarie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
LOV,Chèvrefeuille velu,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MAS,Pommier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MEB,Mélèze de Sibérie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MEH,Mélèze hybride,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MEJ,Mélèze du Japon,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MEL,Mélèze laricin,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MEU,Mélèze européen,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
MYG,Myrique baumier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
NCO,Essence non-commerciale,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
NEM,Némopanthe mucroné,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
NOC,Noyer cendré,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
NON,Noyer noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
NONCOM,Essences non-commerciales indiférenciée,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ORA,Orme d'Amérique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ORR,Orme rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
