source_id,source_title,role,format,url,local_relpath,license,large_file,download_by_default,version_note
PET5_GPKG,Placettes-échantillons temporaires du cinquième inventaire,primary_measurements,ZIP/GPKG,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_5e/02-Donnees/PROV/PET5_GPKG.zip,data_raw/PET5/PET5_GPKG.zip,CC BY 4.0,true,false,Archive courante; consigner date et SHA-256
PET5_DICTIONARY,Dictionnaire des codes des données PET5,documentation,XLSX,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_5e/01-Documentation/DICTIONNAIRE_PLACETTE.xlsx,data_raw/PET5/DICTIONNAIRE_PLACETTE.xlsx,CC BY 4.0,false,true,Document vivant; consigner SHA-256
PET5_README,LISEZ-MOI PET5,documentation,PDF,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_5e/01-Documentation/LISEZ-MOI_pet5.pdf,data_raw/PET5/LISEZ-MOI_pet5.pdf,CC BY 4.0,false,true,Document vivant
PEP_GPKG,Placettes-échantillons permanentes,secondary_longitudinal_measurements,ZIP/GPKG,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_permanentes/02-Donnees/PROV/PEP_GPKG.zip,data_raw/PEP/PEP_GPKG.zip,CC BY 4.0,true,false,Archive courante; mesures répétées
PEP_DICTIONARY,Dictionnaire des codes des données PEP,documentation,XLSX,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_permanentes/01-Documentation/DICTIONNAIRE_PLACETTE.xlsx,data_raw/PEP/DICTIONNAIRE_PLACETTE.xlsx,CC BY 4.0,false,true,Document vivant; peut être identique au dictionnaire PET5
PEP_README,LISEZ-MOI PEP,documentation,PDF,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_permanentes/01-Documentation/LISEZ-MOI_pep.pdf,data_raw/PEP/LISEZ-MOI_pep.pdf,CC BY 4.0,false,true,Document vivant
PET4_GPKG,Placettes-échantillons temporaires du quatrième inventaire,historical_alternative,ZIP/GPKG,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_4e/02-Donnees/PROV/PET4_GPKG.zip,data_raw/PET4/PET4_GPKG.zip,CC BY 4.0,true,false,Archive historique volumineuse
PET4_DICTIONARY,Dictionnaire des codes des données PET4,documentation,XLSX,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_4e/01-Documentation/DICTIONNAIRE_PLACETTE.xlsx,data_raw/PET4/DICTIONNAIRE_PLACETTE.xlsx,CC BY 4.0,false,false,Télécharger seulement si PET4 est retenu
PET4_README,LISEZ-MOI PET4,documentation,PDF,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_4e/01-Documentation/LISEZ-MOI_pet4.pdf,data_raw/PET4/LISEZ-MOI_pet4.pdf,CC BY 4.0,false,false,Télécharger seulement si PET4 est retenu
VASCAN_DWCA,Database of Vascular Plants of Canada,taxonomic_authority,ZIP/DwC-A,https://data.canadensys.net/ipt/archive.do?r=vascan&v=37.16,data_raw/VASCAN/vascan_dwca_v37.16.zip,CC0 1.0,false,false,Version 37.16 publiée en décembre 2025; appariement humain requis
